transaction_id,event_ids,chain,tx_hash,block_number,timestamp,from_address,to_address,transaction_role,anomaly_type,description,label_status,review_status,asset_movements,amount_description,counterpart_transactions,pairing_status,reference_urls,notes
TXN-000001,"[""EVT-000089""]",Arbitrum,0x979ad9b7f5331ea8034305a83b5cd50aea88adec395fff8298dd90eb1b87667f,,,,,"[""forged_cctp_exploit_execution""]",[],,candidate_anomaly,pending,[],,[],unpaired,[],源 target_times 未能独立确认是实际 UTC 交易时间，timestamp 留空。
TXN-000002,"[""EVT-000147""]",Axelar,22BE928EBFCCF578E4F703C2EF7822FBDD5B543D94F677B7FD82B78B8E74C1D9,,,,,"[""Asset Extraction""]","[""Abnormal Withdrawal/Release""]",,candidate_anomaly,pending,"[{""asset"":""WBTC"",""amount"":""16.536059""}]",16.536059 WBTC,"[{""chain"":""Secret Network"",""tx_hash"":""D0BF6C27028D574591DFC25E4D68E0889BE41727265489752F35DBBBF702C3C2""}]",report_supported,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000003,"[""EVT-000147""]",Axelar,4A2A0D419B2F9C3BEDE6EEE9918C59AE7F04EF36080BC486D003394BE8083470,,,,,"[""Asset Extraction""]","[""Abnormal Withdrawal/Release""]",,candidate_anomaly,pending,"[{""asset"":""DAI"",""amount"":""174536.475914""},{""asset"":""WBNB"",""amount"":""170.764596""},{""asset"":""wstETH"",""amount"":""17.656075""}]","174,536.475914 DAI; 170.764596 WBNB; 17.656075 wstETH","[{""chain"":""Secret Network"",""tx_hash"":""22ABA9D6565A38293F0EADD94A64B71331EAF6F738A5A449D3FA070B4ABBBFCF""},{""chain"":""Secret Network"",""tx_hash"":""86B7F03213E6D2272768742A36BBE1AD4A8A54311980D768D0721AE0CDF7D05F""},{""chain"":""Secret Network"",""tx_hash"":""DD2993CC68D8C7D2B4D0B209EC7AA5CE34F71ADFA6779010F39072360CCF46FE""}]",report_supported,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000004,"[""EVT-000147""]",Axelar,4D92E8867B55FE55DA79379476FCBF2F10DB66226238B5118F038A741CD0E49C,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],335.050869,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000005,"[""EVT-000147""]",Axelar,53382B689982A38D7D8884FF8B854AFABB9F71F0F15BBA755E07A13326868229,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],64.036724,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000006,"[""EVT-000147""]",Axelar,55BA01EF12FA33670FE16D7E563D184D752C7A87889BA6BA8B17346CA4B7C6E7,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],6.621028,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000007,"[""EVT-000147""]",Axelar,56CA93E0E1D71CB831CE08D9E33AAB53FA74262CC0B4A637B46149FE001188E3,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],420476.269529,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000008,"[""EVT-000147""]",Axelar,5F3B02D6B10CD07AD12FB0673D8B07E4FE3DD0A0290FFDE76874C36A4C7370C0,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],335.050869,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000009,"[""EVT-000147""]",Axelar,7E56A1151FE5185CC3F708D210BA41E4D1752A8278DA9AC74FE6B3B0853EC383,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],239324.494945,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000010,"[""EVT-000147""]",Axelar,7EA8439FB1C089D7C87E9F84053F52DC9DA43DBA340B46405917D9239D9AE008,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],42.691149,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
TXN-000011,"[""EVT-000147""]",Axelar,86767670D765120713C065EEEBEABD4E40CE1428AAE41B6280925BCDA54EC5CA,,,,,"[""Fund Transfer/Laundering""]","[""Abnormal Asset Transfer""]",,associated,pending,[],420476.269529,[],unpaired,"[""https://forum.scrt.network/t/security-incident-axelar-secret-ibc-bridge-exploit-june-10-2026/7995"",""https://hacked.slowmist.io/?c=Bridge""]",
